tx_hash,datetime_utc,direction,matched_counterparty,value_bnb,usd_at_tx_time,usd_at_today_rate,from_addr,to_addr
0x8045e7c4364d032469c1cd323a27bd22109b91fb2440f17efe0e3fc552c512d8,2023-04-12 7:47:11,you_to_set,0xb6934215b856b03430fc8dc058bd1c668b6a3182,0.04,25.97,26.35,0x128c33c16ee6d337154d0996220a791d89aa0442,0xb6934215b856b03430fc8dc058bd1c668b6a3182
0xa919d6af7796adb2777413b6aa55d5866b99d797d01cffb130a57b05cb7a92dd,2023-04-11 21:39:07,you_to_set,0xb6934215b856b03430fc8dc058bd1c668b6a3182,0.13,84.39,85.65,0x128c33c16ee6d337154d0996220a791d89aa0442,0xb6934215b856b03430fc8dc058bd1c668b6a3182
0xee78c1ad3ce589d816864df3eaf39b8c2c7dbc0c0a7834aceb7ca360dca682c1,2023-04-08 14:50:35,you_to_set,0xb6934215b856b03430fc8dc058bd1c668b6a3182,0.2,129.83,131.76,0x128c33c16ee6d337154d0996220a791d89aa0442,0xb6934215b856b03430fc8dc058bd1c668b6a3182
0x8074c398259ca3493dfbc21bd8060bc32590099731b08c26ef2c827e205efd7b,2023-04-08 7:58:37,you_to_set,0xb6934215b856b03430fc8dc058bd1c668b6a3182,0.4,259.66,263.52,0x128c33c16ee6d337154d0996220a791d89aa0442,0xb6934215b856b03430fc8dc058bd1c668b6a3182
0xf3641f3bf97acc645892265f505293b6cb2d8d396a5ea1e7a0f4e1c234d2b9f7,2023-03-12 2:52:25,you_to_set,0xb6934215b856b03430fc8dc058bd1c668b6a3182,0.89,577.73,586.34,0x128c33c16ee6d337154d0996220a791d89aa0442,0xb6934215b856b03430fc8dc058bd1c668b6a3182
0x76f98b97347ecb06d727ad65ced5a15bd7e352da1edb9db6782f22f683a52856,2023-02-22 7:52:31,you_to_set,0xb6934215b856b03430fc8dc058bd1c668b6a3182,0.2,129.83,131.76,0x128c33c16ee6d337154d0996220a791d89aa0442,0xb6934215b856b03430fc8dc058bd1c668b6a3182
0xa2764f39156234bfc7b02c8495ba4dad0b3075f3893c776c00eafb0fde89f310,2023-01-05 10:29:38,you_to_set,0xb6934215b856b03430fc8dc058bd1c668b6a3182,0.65,421.94,428.23,0x128c33c16ee6d337154d0996220a791d89aa0442,0xb6934215b856b03430fc8dc058bd1c668b6a3182
0x58925d9b3d737c8dc5ddedb1e43eac0c0dd1d28c9f8990991aeca6fbfb6a3d29,2022-12-21 18:23:57,you_to_set,0xb6934215b856b03430fc8dc058bd1c668b6a3182,0.06,38.95,39.53,0x128c33c16ee6d337154d0996220a791d89aa0442,0xb6934215b856b03430fc8dc058bd1c668b6a3182
0xd6ee400dfe7849a158fd01024b65d13d6d0734bd81f973df2c55dbcc53e2c48c,2022-12-21 17:46:50,you_to_set,0xb6934215b856b03430fc8dc058bd1c668b6a3182,1.63089684,1058.68,1074.45,0x128c33c16ee6d337154d0996220a791d89aa0442,0xb6934215b856b03430fc8dc058bd1c668b6a3182
0xdfd45324f3a03da05e58dabd008681b0d23c861d4c91dbec0299c6581063e571,2022-12-17 22:08:09,you_to_set,0x8b206a405c11664189cec6673bf5a9b4e0eaf63e,0.02,12.98,13.18,0x128c33c16ee6d337154d0996220a791d89aa0442,0x8b206a405c11664189cec6673bf5a9b4e0eaf63e
