category,rank,asin,bestseller_title,bestseller_url,captured_at,audit_reason,marketplace_listing_id,marketplace_category,marketplace_cpk,marketplace_cpk_identity_category,marketplace_title
cooler,65,B0DPX4T9TK,"ARCTIC P14 Pro PST - Powerful Premium Fan, 140 mm PWM Fan with Y-Cable Splitter, 400-2500 rpm, 0 rpm <5% PWM, Fluid Dynamic B",https://www.amazon.co.uk/ARCTIC-P14-Pro-PST-Powerful/dp/B0DPX4T9TK/ref=zg_bs_g_430499031_d_sccl_15/524-3698123-6031407,2026-09-25 11:38:26.332930,No exact ASIN listing found in current Amazon marketplace scores,,,,,
cooler,65,B0DPX4T9TK,"ARCTIC P14 Pro PST - Powerful Premium Fan, 140 mm PWM Fan with Y-Cable Splitter, 400-2500 rpm, 0 rpm <5% PWM, Fluid Dynamic B",https://www.amazon.co.uk/ARCTIC-P14-Pro-PST-Powerful/dp/B0DPX4T9TK/ref=zg_bs_g_430499031_d_sccl_15/525-2893768-2677554,2026-09-25 12:57:51.160789,No exact ASIN listing found in current Amazon marketplace scores,,,,,
cooler,66,B0DJD8MJ5S,"ARCTIC P12 Pro A-RGB - 3 Pack - Powerful Premium Fan, 120 mm PWM Fan with Y-Cable Splitter, 600-3000 rpm, 0 rpm <5% PWM, 5V D",https://www.amazon.co.uk/ARCTIC-P12-Pro-RGB-Pack/dp/B0DJD8MJ5S/ref=zg_bs_g_430499031_d_sccl_16/524-3698123-6031407,2026-09-25 11:38:26.332931,No exact ASIN listing found in current Amazon marketplace scores,,,,,
cooler,66,B0DJD8MJ5S,"ARCTIC P12 Pro A-RGB - 3 Pack - Powerful Premium Fan, 120 mm PWM Fan with Y-Cable Splitter, 600-3000 rpm, 0 rpm <5% PWM, 5V D",https://www.amazon.co.uk/ARCTIC-P12-Pro-RGB-Pack/dp/B0DJD8MJ5S/ref=zg_bs_g_430499031_d_sccl_16/525-2893768-2677554,2026-09-25 12:57:51.160790,No exact ASIN listing found in current Amazon marketplace scores,,,,,
cooler,67,B0F6T6CBWN,"Thermalright TL-M12QW X3 120mm ARGB PWM Case Fans White, 3-Pack | Infinity mirror ARGB, daisy-chain cabling, 2000RPM PWM cont",https://www.amazon.co.uk/Thermalright-TL-M12QW-Daisy-Chain-Infinity-Lighting/dp/B0F6T6CBWN/ref=zg_bs_g_430499031_d_sccl_17/524-3698123-6031407,2026-09-25 11:38:26.332932,No exact ASIN listing found in current Amazon marketplace scores,,,,,
cooler,67,B0F6T6CBWN,"Thermalright TL-M12QW X3 120mm ARGB PWM Case Fans White, 3-Pack | Infinity mirror ARGB, daisy-chain cabling, 2000RPM PWM cont",https://www.amazon.co.uk/Thermalright-TL-M12QW-Daisy-Chain-Infinity-Lighting/dp/B0F6T6CBWN/ref=zg_bs_g_430499031_d_sccl_17/525-2893768-2677554,2026-09-25 12:57:51.160792,No exact ASIN listing found in current Amazon marketplace scores,,,,,
cooler,68,B0DC9C8CMX,PTM7950 Thermal Pad 40x40x0.25mm CSGR – Phase Change Material 8.5 W/mK for CPU GPU Cooling – High Performance Thermal Pad for,https://www.amazon.co.uk/PTM7950-40x40x0-25mm-Phase-Change-Thermal/dp/B0DC9C8CMX/ref=zg_bs_g_430499031_d_sccl_18/524-3698123-6031407,2026-09-25 11:38:26.332934,No exact ASIN listing found in current Amazon marketplace scores,,,,,
cooler,68,B0DC9C8CMX,PTM7950 Thermal Pad 40x40x0.25mm CSGR – Phase Change Material 8.5 W/mK for CPU GPU Cooling – High Performance Thermal Pad for,https://www.amazon.co.uk/PTM7950-40x40x0-25mm-Phase-Change-Thermal/dp/B0DC9C8CMX/ref=zg_bs_g_430499031_d_sccl_18/525-2893768-2677554,2026-09-25 12:57:51.160793,No exact ASIN listing found in current Amazon marketplace scores,,,,,
cooler,69,B0GWJ8TN5N,"Noctua NF-A12x25 G2 PWM Sx2-PP chromax.black, High-End Quiet Fans 2x120mm | High Airflow & Static Pressure, Low-Noise 25mm Th",https://www.amazon.co.uk/Noctua-NF-A12x25-PWM-Sx2-PP-chromax-black/dp/B0GWJ8TN5N/ref=zg_bs_g_430499031_d_sccl_19/524-3698123-6031407,2026-09-25 11:38:26.332935,No exact ASIN listing found in current Amazon marketplace scores,,,,,
cooler,69,B0GWJ8TN5N,"Noctua NF-A12x25 G2 PWM Sx2-PP chromax.black, High-End Quiet Fans 2x120mm | High Airflow & Static Pressure, Low-Noise 25mm Th",https://www.amazon.co.uk/Noctua-NF-A12x25-PWM-Sx2-PP-chromax-black/dp/B0GWJ8TN5N/ref=zg_bs_g_430499031_d_sccl_19/525-2893768-2677554,2026-09-25 12:57:51.160794,No exact ASIN listing found in current Amazon marketplace scores,,,,,
cooler,70,B0F8QY1NKY,"CORSAIR RS120-R ARGB 120mm PWM Reverse Flow Fan - +5V ARGB Connections, 8 RGB LED, High Pressure, Daisy Chain, Magnetic Beari",https://www.amazon.co.uk/Corsair-RS120-R-ARGB-120mm-Reverse/dp/B0F8QY1NKY/ref=zg_bs_g_430499031_d_sccl_20/524-3698123-6031407,2026-09-25 11:38:26.332937,Existing CPK identity category conflicts with bestseller category,B0F8QY1NKY,fan,23a5ae1cc3aead03,fan,"CORSAIR RS120-R ARGB 120mm PWM Reverse Flow Fan - +5V ARGB Connections, 8 RGB LED, High Pressure, Daisy Chain, Magnetic Bearing, Zero RPM, Pack of 3 - Black"
cooler,70,B0F8QY1NKY,"CORSAIR RS120-R ARGB 120mm PWM Reverse Flow Fan - +5V ARGB Connections, 8 RGB LED, High Pressure, Daisy Chain, Magnetic Beari",https://www.amazon.co.uk/Corsair-RS120-R-ARGB-120mm-Reverse/dp/B0F8QY1NKY/ref=zg_bs_g_430499031_d_sccl_20/525-2893768-2677554,2026-09-25 12:57:51.160795,Existing CPK identity category conflicts with bestseller category,B0F8QY1NKY,fan,23a5ae1cc3aead03,fan,"CORSAIR RS120-R ARGB 120mm PWM Reverse Flow Fan - +5V ARGB Connections, 8 RGB LED, High Pressure, Daisy Chain, Magnetic Bearing, Zero RPM, Pack of 3 - Black"
cooler,71,B0C61Q2YKX,Thermal Grizzly KryoSheet 38x38x0.2mm – Ultra High Thermal Conductivity Graphene Thermal Pad – Perfect Alternative for Therma,https://www.amazon.co.uk/Thermal-Grizzly-KryoSheet-W%C3%A4rmeleitpad-38/dp/B0C61Q2YKX/ref=zg_bs_g_430499031_d_sccl_21/524-3698123-6031407,2026-09-25 11:38:26.332938,No exact ASIN listing found in current Amazon marketplace scores,,,,,
cooler,71,B0C61Q2YKX,Thermal Grizzly KryoSheet 38x38x0.2mm – Ultra High Thermal Conductivity Graphene Thermal Pad – Perfect Alternative for Therma,https://www.amazon.co.uk/Thermal-Grizzly-KryoSheet-W%C3%A4rmeleitpad-38/dp/B0C61Q2YKX/ref=zg_bs_g_430499031_d_sccl_21/525-2893768-2677554,2026-09-25 12:57:51.160796,No exact ASIN listing found in current Amazon marketplace scores,,,,,
cooler,73,B01A9KIGSI,Thermal Grizzly - Conductonaut - 1 Gram - Liquid Metal Compound Thermal Paste - For Maximum Thermal Conductivity while Overcl,https://www.amazon.co.uk/Thermal-Grizzly-conductonaut-compound-10-140%C2%B0/dp/B01A9KIGSI/ref=zg_bs_g_430499031_d_sccl_23/524-3698123-6031407,2026-09-25 11:38:26.332940,No exact ASIN listing found in current Amazon marketplace scores,,,,,
