category,rank,asin,title,cpk,price,rrp,rating,review_count,sales_velocity,url,captured_at
case,40,B0D54K6MTD,"MSI MAG FORGE M100R WHITE PC Case - Micro-ATX Capacity, GPU Support up to 300 mm , ARGB Fans, Magnetic Dust Filters, Tempered",10351241c611d48a,49.99,,4.6,115,,https://www.amazon.co.uk/MSI-306-7G20W21-HH9-FORGE-M100R-WHITE/dp/B0D54K6MTD/ref=zg_bs_g_430498031_d_sccl_40/522-1500010-1872250,2026-09-25T16:02:01.344447
case,41,B09RGHK5CY,"MSI MAG FORGE 112R Mid-Tower PC Case - Tempered Glass, ATX, Micro-ATX & Mini-ITX Capacity, Front Mesh Panel, 4 x 120mm ARGB f",66220034682698bd,49.99,,4.5,573,,https://www.amazon.co.uk/MSI-FORGE-112R-Mid-Tower-Type-black/dp/B09RGHK5CY/ref=zg_bs_g_430498031_d_sccl_41/522-1500010-1872250,2026-09-25T16:02:01.344448
case,42,B0F74LMG5R,"Lian Li Lancool 217 PC Case Black | ATX Mid Tower, Tempered Glass, 5 Fans, Walnut Wood Accents, Mesh Front, Back-Connect Comp",,109.99,,4.7,212,,https://www.amazon.co.uk/Lian-Li-217-Back-Connect-Compatible-Black/dp/B0F74LMG5R/ref=zg_bs_g_430498031_d_sccl_42/522-1500010-1872250,2026-09-25T16:02:01.344448
case,43,B07X9R8V96,"GeeekPi Raspberry Pi 4 ABS Case with PWM Fan, 4PCS Heatsinks and 5V 3.6A USB-C Power Supply UK Power Adapter for Raspberry Pi",,14.99,,4.5,74,,https://www.amazon.co.uk/GeeekPi-Raspberry-Adapter-40X40X10mm-Heatsinks/dp/B07X9R8V96/ref=zg_bs_g_430498031_d_sccl_43/522-1500010-1872250,2026-09-25T16:02:01.344449
case,44,B0FBS15ZJD,CiT S8-300 SFF Micro-ATX Office PC Case with 300W Power Supply – Micro-ATX & Mini-ITX Support – 80mm Fan Pre-Installed – Slim,,,,4.0,2,,https://www.amazon.co.uk/CiT-S8-300-Micro-ATX-Office-Supply/dp/B0FBS15ZJD/ref=zg_bs_g_430498031_d_sccl_44/522-1500010-1872250,2026-09-25T16:02:01.344450
case,45,B0DXQG3MDK,"FOIFKIN M1 PC Case ATX with 4 PWM ARGB Fans, Front in Walnut Wood,Computer Case Mid-Tower,High Airflow,240mm Radiator Support",4e97d528c498aa21,69.99,,4.2,75,,https://www.amazon.co.uk/FOIFKIN-M1-Case-Pre-Installed-Mid-Tower-Black/dp/B0DXQG3MDK/ref=zg_bs_g_430498031_d_sccl_45/522-1500010-1872250,2026-09-25T16:02:01.344451
case,46,B0FH2FYC3X,"IONZ APEX EMBER- PC Gaming Case, M/ATX Mid Tower, Dual Chamber - Front I/O Type C, Tempered Glass With Wood Panel and 6 ARGB",07d8ac29adbeec82,49.95,,3.9,9,,https://www.amazon.co.uk/IONZ-EMBER-Gaming-Tower-Chamber-Black/dp/B0FH2FYC3X/ref=zg_bs_g_430498031_d_sccl_46/522-1500010-1872250,2026-09-25T16:02:01.344451
case,47,B00Q2Z11QE,Fractal Design Define R5 - Mid Tower Computer Case - ATX - Optimized For High Airflow And Silent - 2x Fractal Design Dynamic,334cc1d9b20de2ee,114.99,,4.6,1858,,https://www.amazon.co.uk/Fractal-Design-Define-Midtower-Computer/dp/B00Q2Z11QE/ref=zg_bs_g_430498031_d_sccl_47/522-1500010-1872250,2026-09-25T16:02:01.344452
case,48,B0CFYKNHW7,"MSI MAG FORGE 320R AIRFLOW Mid-Tower PC Case - ATX Capacity, up to 390mm RTX 40 GPU Support, 4 x 120mm ARGB Fans, Magnetic Du",e65219b168f19035,59.99,,4.6,503,,https://www.amazon.co.uk/MSI-FORGE-AIRFLOW-Mid-Tower-Type/dp/B0CFYKNHW7/ref=zg_bs_g_430498031_d_sccl_48/522-1500010-1872250,2026-09-25T16:02:01.344453
case,49,B0HB93XJRK,"NZXT S5 RGB Compact ATX Mid-Tower PC Case - White | Panoramic Dual Tempered Glass, Pre-Installed 360 mm RGB Reverse Fan, Up t",,,,,,,https://www.amazon.co.uk/NZXT-RGB-Compact-Mid-Tower-Case-White/dp/B0HB93XJRK/ref=zg_bs_g_430498031_d_sccl_49/522-1500010-1872250,2026-09-25T16:02:01.344453
