category,list_name,asin,title,url,image_url,rank,cpk,rating,review_count,price,rrp,sales_velocity,captured_at
ram,Computer Memory,B08F4JMP1L,Kingston Branded Memory 8GB DDR4 3200MT/s SODIMM KCP432SS8/8 Notebook Memory,https://www.amazon.co.uk/Kingston-Branded-Memory-KCP432SS8-Notebook/dp/B08F4JMP1L/ref=zg_bs_g_430511031_d_sccl_90/522-4755054-8671242,"https://images-eu.ssl-images-amazon.com/images/I/71U6ZB4gipL._AC_UL300_SR300,200_.jpg",90,,4.7,101,65.04,,,2026-09-25 11:30:43.726375
ram,Computer Memory,B0CHSGCFQT,CORSAIR DOMINATOR TITANIUM RGB DDR5 RAM 32GB (2x16GB) DDR5 Up to 6000MHz CL30 Intel XMP iCUE Compatible Computer Memory - Whi,https://www.amazon.co.uk/CORSAIR-DOMINATOR-TITANIUM-Compatible-Computer/dp/B0CHSGCFQT/ref=zg_bs_g_430511031_d_sccl_91/522-4755054-8671242,"https://images-eu.ssl-images-amazon.com/images/I/61FvCy+l77L._AC_UL300_SR300,200_.jpg",91,,4.8,324,594.98,,,2026-09-25 11:30:43.726376
ram,Computer Memory,B07R4XF8RB,Silicon Power 8GB-DDR4-RAM-2400MHz (PC4 19200) 288 Pin 1.2V CL17 Non ECC Unbuffered UDIMM-Desktop Memory,https://www.amazon.co.uk/Silicon-Power-8GB-DDR4-RAM-2400MHz-Unbuffered-UDIMM-Desktop/dp/B07R4XF8RB/ref=zg_bs_g_430511031_d_sccl_92/522-4755054-8671242,"https://images-eu.ssl-images-amazon.com/images/I/71VmH7RxVQL._AC_UL300_SR300,200_.jpg",92,2a7b445e53c29b68,4.6,100,48.99,,,2026-09-25 11:30:43.726377
ram,Computer Memory,B0CB2VGYFW,【RGB DDR4 RAM】GIGASTONE Game TURBO 32GB Kit (2x16GB) DDR4 3200MHz PC4-25600 CL16-18-18-40 Intel XMP 2.0 AMD Ryzen 1.35V UDIMM,https://www.amazon.co.uk/Gigastone-Desktop-DDR4-3200MHz-PC4-25600-Unbuffered-DDR4-3200MHz-RGB-Game-Turbo-Udimm/dp/B0CB2VGYFW/ref=zg_bs_g_430511031_d_sccl_93/522-4755054-8671242,"https://images-eu.ssl-images-amazon.com/images/I/510V6PbPGrL._AC_UL300_SR300,200_.jpg",93,,4.7,348,236.99,,,2026-09-25 11:30:43.726378
ram,Computer Memory,B0CCF65QG4,OWC 32GB (2X16GB) DDR4 RAM Compatible With Synology DiskStation DS723+ and DS923+ NAS System 2666MHz PC4-21300 CL19 ECC SODIM,https://www.amazon.co.uk/OWC-Compatible-Synology-DiskStation-PC4-21300/dp/B0CCF65QG4/ref=zg_bs_g_430511031_d_sccl_94/522-4755054-8671242,"https://images-eu.ssl-images-amazon.com/images/I/61tqXVXb5OL._AC_UL300_SR300,200_.jpg",94,,4.6,246,362.7,,,2026-09-25 11:30:43.726380
ram,Computer Memory,B0BVN1YZKV,CORSAIR VENGEANCE DDR5 RAM 48GB (2x24GB) Up to 5600MHz CL40 Intel XMP iCUE Compatible Computer Memory - Black (CMK48GX5M2B560,https://www.amazon.co.uk/CORSAIR-VENGEANCE-5600MHz-Compatible-Computer/dp/B0BVN1YZKV/ref=zg_bs_g_430511031_d_sccl_95/522-4755054-8671242,"https://images-eu.ssl-images-amazon.com/images/I/71AV5PQu1yL._AC_UL300_SR300,200_.jpg",95,aff4884b4175ce51,4.6,18,499.99,,,2026-09-25 11:30:43.726381
ram,Computer Memory,B0BQX98VK7,Samsung 8GB DDR5 4800 MHz PC5-38400 SODIMM Laptop Memory RAM (M425R1GB4BB0) OEM,https://www.amazon.co.uk/Samsung-PC5-38400-SODIMM-Laptop-M425R1GB4BB0/dp/B0BQX98VK7/ref=zg_bs_g_430511031_d_sccl_96/522-4755054-8671242,"https://images-eu.ssl-images-amazon.com/images/I/61Yw2NNpQPL._AC_UL300_SR300,200_.jpg",96,,4.6,68,137.59,,,2026-09-25 11:30:43.726382
storage,Internal Solid State Drives,B0B9C3ZVHR,Samsung 990 PRO 1TB PCIe 4.0 (up to 7450 MB/s) NVMe M.2 (2280) Internal Solid State Drive (SSD) (MZ-V9P1T0BW),https://www.amazon.co.uk/Samsung-Internal-Solid-State-MZ-V9P1T0BW/dp/B0B9C3ZVHR/ref=zg_bs_g_430505031_d_sccl_1/524-3698123-6031407,"https://images-eu.ssl-images-amazon.com/images/I/71XHEQZZW+L._AC_UL600_SR600,400_.jpg",1,25175c1510909830,4.8,12980,186.99,,,2026-09-25 11:36:22.600612
storage,Internal Solid State Drives,B0DC8RVRBZ,"Crucial P310 2TB SSD M.2 2280 NVMe PCIe Gen4, Up to 7,100MB/s, Laptop & Desktop (PC) Compatible, Internal Solid State Drive -",https://www.amazon.co.uk/Crucial-Internal-Gaming-Desktop-Compatible/dp/B0DC8RVRBZ/ref=zg_bs_g_430505031_d_sccl_2/524-3698123-6031407,"https://images-eu.ssl-images-amazon.com/images/I/51iNNIdPqkL._AC_UL600_SR600,400_.jpg",2,,4.6,11101,229.99,,,2026-09-25 11:36:22.600617
storage,Internal Solid State Drives,B0B2K51BHH,"KingSpec 1TB 2.5"" SATA III 6Gb/s SSD, Read Speed up to 550MB/s, 3D NAND Flash Internal Solid State Drive for Desktop & Laptop",https://www.amazon.co.uk/KingSpec-Internal-Computer-White-Collar-Game-Player/dp/B0B2K51BHH/ref=zg_bs_g_430505031_d_sccl_3/524-3698123-6031407,"https://images-eu.ssl-images-amazon.com/images/I/617eri7XTRL._AC_UL600_SR600,400_.jpg",3,,4.5,9334,99.99,,,2026-09-25 11:36:22.600619
